,User,Tweet,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Count
61,@BBC,RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,Wed Jul 11 19:49:56 +0000 2018,-0.296,0.0,0.694,0.306,61
62,@BBC,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",Wed Jul 11 19:27:11 +0000 2018,0.0,0.0,1.0,0.0,62
63,@BBC,"It doesn't matter where you're watching, as long as you're watching. ⚽️⚽️⚽️

Millions of #ENG fans are watching… https://t.co/geST9JHDr4",Wed Jul 11 19:20:29 +0000 2018,-0.0191,0.0,0.944,0.056,63
64,@BBC,"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",Wed Jul 11 19:16:46 +0000 2018,0.0,0.0,1.0,0.0,64
65,@BBC,"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",Wed Jul 11 19:02:33 +0000 2018,0.6705,0.224,0.776,0.0,65
66,@BBC,A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,Wed Jul 11 19:02:02 +0000 2018,0.3182,0.126,0.874,0.0,66
67,@BBC,"Half time in Moscow. 

#CRO 0-1 #ENG
￼
Follow:

📱 https://t.co/5KN3TtJ2Zz  
📻 @5livesport

#ENGCRO #WorldCup https://t.co/TVSyyaX8dl",Wed Jul 11 18:50:03 +0000 2018,0.0,0.0,1.0,0.0,67
68,@BBC,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",Wed Jul 11 18:06:07 +0000 2018,0.0,0.0,1.0,0.0,68
69,@BBC,"It's time. ⚽️

#ENGCRO #worldcup #bbcworldcup https://t.co/A0zRUx5CVK",Wed Jul 11 18:00:11 +0000 2018,0.0,0.0,1.0,0.0,69
70,@BBC,"Prince Harry knows... #ItsComingHome ️⚽️➡️🏠

#ENGCRO #ENG #WorldCup #ThreeLions 

https://t.co/ouBlfHLWry",Wed Jul 11 17:57:05 +0000 2018,0.0,0.0,1.0,0.0,70
71,@BBC,"The @BBCEastenders prediction for tonight's #WorldCup semi-final? 

""Ta-ta Croatia!"" 👋😂 @MrDDyer

#ThreeLions… https://t.co/wRv1AlP9s6",Wed Jul 11 17:01:04 +0000 2018,0.0,0.0,1.0,0.0,71
72,@BBC,"What's that David Attenborough... it's coming home? 🏴󠁧󠁢󠁥󠁮󠁧󠁿️⚽️🏆😆

🔊 Turn your sound on!  🔊

#WorldCup #ThreeLions… https://t.co/fkYYIqg2fO",Wed Jul 11 16:01:05 +0000 2018,0.0,0.0,1.0,0.0,72
73,@BBC,The National Gallery has acquired its first work by a woman for 27 years. 🖌 https://t.co/WkCtpvqKtN https://t.co/NZRjCCw3z5,Wed Jul 11 13:03:06 +0000 2018,0.0,0.0,1.0,0.0,73
74,@BBC,"The last time #ENG played a #WorldCup Semi Final, @bbceastenders looked like this... https://t.co/JeYtBettzm",Wed Jul 11 11:32:03 +0000 2018,0.5994,0.308,0.692,0.0,74
75,@BBC,"🤔 Game Boys, Vanilla Ice and a new TV programme called 'The Simpsons'... 

This is what #England looked like last t… https://t.co/YTCXpNJvqb",Wed Jul 11 11:02:02 +0000 2018,0.3612,0.116,0.884,0.0,75
